"","station","y","vegetation","habitat"
"1","BSN02",8,1.76982251051672,"crop"
"2","BSN03",28,3.55870831414912,"crop"
"3","BSN04",4,2.07050839142458,"crop"
"4","BSN05",3,2.12928773516095,"crop"
"5","BSN06",19,3.71506498688328,"crop"
"6","BSN07",4,2.4609162059892,"forest"
"7","BSN08",3,0.734938765393466,"forest"
"8","BSN09",3,1.31314714810647,"crop"
"9","BSN10",5,1.55433802990004,"forest"
"10","BSN11",15,3.22408179743946,"crop"
"11","BSN12",12,2.35981382705736,"forest"
"12","BSN13",7,2.40077145059405,"forest"
"13","BSN14",4,2.11068271594512,"crop"
"14","BSN15",7,1.44415886524592,"forest"
"15","BSN16",20,3.78691313680308,"crop"
"16","BSN17",9,2.49785047822924,"forest"
"17","BSN18",1,0.0333828433703618,"forest"
"18","BSN19",19,2.70135590156369,"forest"
"19","BSN20",8,1.52720859227207,"forest"
"20","BSN21",5,0.932176294013155,"forest"
"21","BSN22",12,1.7820250853417,"forest"
"22","BSN23",5,0.97399555169276,"forest"
"23","BSN24",7,1.27110877070886,"forest"
"24","BSN25",5,1.37496073215074,"forest"
"25","BSN26",1,0.313306689257587,"crop"
"26","BSN27",17,2.83778704449452,"forest"
"27","BSN28",13,2.15337311783652,"crop"
"28","BSN29",1,0.861863062988052,"crop"
"29","BSN30",27,3.25381492106993,"forest"
"30","BSN01",0,1.43952435344779,"forest"
